dateTime,close_predict
2023-01-23,22600.097854031617
2023-01-24,22687.3775790782
2023-01-25,22646.93887520389
2023-01-26,22796.895887343646
2023-01-27,22901.232773909363
2023-01-28,22901.529269262322
2023-01-29,22950.855150174328
2023-01-30,23293.177533919777
2023-01-31,23061.818536507766
2023-02-01,22874.106885726655
2023-02-02,23218.8470897681
2023-02-03,23497.228683190693
2023-02-04,23275.45459004431
2023-02-05,23302.223195429877
2023-02-06,23002.161290880595
2023-02-07,22737.689719781003
2023-02-08,22877.397350233092
2023-02-09,22941.439599647176
2023-02-10,22132.567117844625
2023-02-11,21538.277451476795
2023-02-12,21666.11940132577
2023-02-13,21747.84255258866
2023-02-14,21570.30077843746
2023-02-15,21789.13148827682
2023-02-16,23108.97180450144
2023-02-17,23842.28157004091
2023-02-18,23789.250155064907
2023-02-19,24505.799452003637
2023-02-20,24401.67951328027
2023-02-21,24339.001805446944
2023-02-22,24437.42316038322
2023-02-23,23940.226431130384
2023-02-24,23833.791157742668
2023-02-25,23334.880554559008
2023-02-26,22973.99432372548
2023-02-27,23272.151443553394
2023-02-28,23370.190723435233
2023-03-01,23174.520065710607
2023-03-02,23297.97512874895
2023-03-03,23399.118552402804
2023-03-04,22655.595341618475
2023-03-05,22235.18645477507
2023-03-06,22325.834271557454
2023-03-07,22324.579155837444
2023-03-08,22134.06182600005
2023-03-09,21798.73468224769
2023-03-10,20752.183005887833
2023-03-11,19690.501680601687
2023-03-12,20075.994118789255
2023-03-13,21053.323674800307
2023-03-14,22560.278794147973
2023-03-15,24105.216561247395
2023-03-16,24013.095865788047
2023-03-17,24360.95814282776
2023-03-18,25736.81706026997
2023-03-19,26883.45106469011
2023-03-20,27293.49000914339
2023-03-21,27412.48204101538
2023-03-22,27570.817358133896
2023-03-23,27587.952691164715
2023-03-24,27803.010476488867
2023-03-25,27704.721018061533
2023-03-26,27389.993782662437
2023-03-27,27698.80440476857
2023-03-28,27333.49462315952
2023-03-29,27065.074711482386
2023-03-30,27833.88776034539
2023-03-31,28243.326966403765
2023-04-01,28109.65998970239
2023-04-02,28416.77330503416
2023-04-03,28176.671369362197
2023-04-04,27850.315854216085
2023-04-05,27954.369839231094
2023-04-06,28161.960115461236
2023-04-07,27945.032384479873
2023-04-08,27869.01846566915
2023-04-09,27883.383033859533
2023-04-10,28084.96826885665
2023-04-11,28950.480463417018
2023-04-12,29940.92968747254
2023-04-13,29981.858200592855
2023-04-14,30121.514862825232
2023-04-15,30390.673842539687
2023-04-16,30317.08144210791
2023-04-17,30248.46826333537
2023-04-18,29747.729151332664
2023-04-19,29815.05050212391
2023-04-20,29451.345929868527
2023-04-21,28458.010149869595
2023-04-22,27669.990339807275
2023-04-23,27464.52155580252
2023-04-24,27553.149069577445
2023-04-25,27445.44245653019
2023-04-26,27806.193375073715
2023-04-27,28458.79573618004
2023-04-28,28999.75629736085
2023-04-29,29247.069240958765
2023-04-30,29180.538914056524
2023-05-01,29314.2574385256
2023-05-02,28506.58730984987
2023-05-03,28319.957812168006
2023-05-04,28715.449050152212
2023-05-05,28904.330985151762
2023-05-06,29151.521075675166
2023-05-07,29058.044710281276
2023-05-08,28626.729408807838
2023-05-09,27926.317113986755
2023-05-10,27538.029203510065
2023-05-11,27529.535886032652
2023-05-12,27145.951803143078
2023-05-13,26604.353616740085
2023-05-14,26743.151010044643
2023-05-15,26790.09356130115
2023-05-16,27053.591753983754
2023-05-17,27004.017661869388
2023-05-18,27061.693951930447
2023-05-19,26945.24637673428
2023-05-20,26801.939076421302
2023-05-21,26909.66267371547
2023-05-22,26865.617807679446
2023-05-23,26732.89335032196
2023-05-24,27023.336541673572
2023-05-25,26632.802678313896
2023-05-26,26256.80153671252
2023-05-27,26537.029027035376
2023-05-28,26670.59914841636
2023-05-29,27455.708591716368
2023-05-30,27870.52720795919
2023-05-31,27677.276609186712
2023-06-01,27320.651190850207
2023-06-02,26916.24471482
2023-06-03,26903.423768571673
2023-06-04,27056.143156182676
2023-06-05,27069.391383192724
2023-06-06,26266.01612407127
2023-06-07,26401.583432849802
2023-06-08,26694.48456055918
2023-06-09,26389.759555011922
2023-06-10,26427.45803056452
2023-06-11,25978.36879839724
2023-06-12,25824.720337845072
2023-06-13,25804.285448689934
2023-06-14,25921.561115677687
2023-06-15,25420.681105626543
2023-06-16,25261.686494885504
2023-06-17,25864.59221962562
2023-06-18,26397.73777697932
2023-06-19,26368.24775356269
2023-06-20,26564.627616000726
2023-06-21,27530.651661940024
2023-06-22,29334.019312582503
2023-06-23,29912.228832048688
2023-06-24,30418.62786344177
2023-06-25,30498.61635095121
2023-06-26,30516.8549240509
2023-06-27,30264.670501146284
2023-06-28,30491.486635246285
2023-06-29,30263.407856558995
2023-06-30,30300.19786508839
2023-07-01,30378.414599842457
2023-07-02,30442.792073204168
2023-07-03,30476.084878490114
2023-07-04,30881.985646771616
2023-07-05,30906.74712578645
2023-07-06,30520.645361946106
2023-07-07,30377.47329347361
2023-07-08,30043.637779617056
2023-07-09,30193.963008935716
2023-07-10,30165.830904051727
2023-07-11,30342.28011007204
2023-07-12,30474.634501188968
2023-07-13,30483.11990356643
2023-07-14,30946.81004041018
2023-07-15,30762.742396411635
2023-07-16,30223.42520535632
2023-07-17,30185.96642991102
2023-07-18,30026.526203501075
2023-07-19,29869.1097310617
2023-07-20,29859.60599573725
2023-07-21,29860.35641280263
2023-07-22,29800.923930221707
2023-07-23,29756.177843154157
2023-07-24,29929.39790184166
2023-07-25,29485.973053481852
2023-07-26,29132.064657700037
2023-07-27,29274.131209754676
2023-07-28,29232.137365875642
2023-07-29,29228.431371556206
2023-07-30,29253.373913252315
2023-07-31,29204.671678745915
2023-08-01,29211.799165972738
2023-08-02,29269.664558716886
2023-08-03,29399.173414919627
2023-08-04,29122.414421352405
2023-08-05,29039.4186604526
2023-08-06,28998.16736351394
2023-08-07,29010.220320140947
2023-08-08,29001.520492772728
2023-08-09,29545.416005941308
2023-08-10,29654.476656501472
2023-08-11,29448.954178073498
2023-08-12,29348.683243349453
2023-08-13,29349.099547213416
2023-08-14,29289.480857278213
2023-08-15,29316.101443346197
2023-08-16,29220.047787374664
2023-08-17,28897.105375416464
2023-08-18,27281.67428060626
2023-08-19,26209.06345752916
2023-08-20,25978.960630617144
2023-08-21,26056.38613753611
2023-08-22,26014.606301386997
2023-08-23,25834.38805287116
2023-08-24,26219.712168809394
2023-08-25,26184.92824335564
2023-08-26,26001.53468535188
2023-08-27,25955.32928226859
2023-08-28,25979.41292421866
2023-08-29,26002.093414811952
2023-08-30,26966.54530827761
2023-08-31,27372.038955123735
2023-09-01,26552.574915479556
2023-09-02,25734.992976173322
2023-09-03,25766.24698150907
2023-09-04,25859.97323843078
2023-09-05,25800.008478631335
2023-09-06,25688.74782627859
2023-09-07,25664.310743664002
2023-09-08,25955.016931050704
2023-09-09,25985.814130298095
2023-09-10,25797.37651941298
2023-09-11,25753.791521730513
2023-09-12,25372.075571171517
2023-09-13,25629.219232492633
2023-09-14,25987.790119837202
2023-09-15,26364.14344902116
